Rank,Strategy,Market PnL,Market Sharpe,Market Max DD,Market Win Rate,Original PnL,PnL Delta
1,Always Short,121085.80413374175,7.714493144607639,6106.530629493485,0.7103825136612022,-1240.9000000000028,122326.70413374176
2,Load Forecast,0.0001448951916245278,8.300732402931303e-09,39351.24570452238,0.5300546448087432,31466.540000000005,-31466.539855104813
3,Wind Forecast,8.949411949288333e-05,5.1269247047990415e-09,29407.94800778787,0.46994535519125685,56807.979999999996,-56807.97991050588
4,Weekly Cycle,-20302.16225287671,-1.1662098936609318,21448.769776430494,0.45081967213114754,72640.24,-92942.40225287672
5,Lag2 Reversion,-26211.43048245588,-1.8177705393364672,28185.36859333207,0.43829787234042555,51040.770000000004,-77252.20048245588
6,Day Of Week,-27058.284601441934,-1.881376277498178,30019.690807718627,0.48854961832061067,93213.41,-120271.69460144194
7,Composite Signal,-57188.427123194146,-3.348488525734597,68417.39743550678,0.38524590163934425,100241.24,-157429.66712319414
8,Fossil Dispatch,-106025.65388774741,-6.575801586780988,109783.74503460228,0.3114754098360656,29259.120000000003,-135284.7738877474
9,Always Long,-121085.80413374175,-7.714493144607639,124186.37721385933,0.2896174863387978,1240.9000000000028,-122326.70413374176
